var_name,var_label
smri_area_cdk_banksstslh,Cortical area in mm^2 of APARC ROI lh-Banks of Superior Temporal Sulcus
smri_area_cdk_cdacatelh,Cortical area in mm^2 of APARC ROI lh-caudalanteriorcingulate
smri_area_cdk_cdmdfrlh,Cortical area in mm^2 of APARC ROI lh-caudalmiddlefrontal
smri_area_cdk_cuneuslh,Cortical area in mm^2 of APARC ROI lh-cuneus
smri_area_cdk_ehinallh,Cortical area in mm^2 of APARC ROI lh-entorhinal
smri_area_cdk_fusiformlh,Cortical area in mm^2 of APARC ROI lh-fusiform
smri_area_cdk_ifpllh,Cortical area in mm^2 of APARC ROI lh-inferiorparietal
smri_area_cdk_iftmlh,Cortical area in mm^2 of APARC ROI lh-inferiortemporal
smri_area_cdk_ihcatelh,Cortical area in mm^2 of APARC ROI lh-isthmuscingulate
smri_area_cdk_locclh,Cortical area in mm^2 of APARC ROI lh-lateraloccipital
smri_area_cdk_lobfrlh,Cortical area in mm^2 of APARC ROI lh-lateralorbitofrontal
smri_area_cdk_linguallh,Cortical area in mm^2 of APARC ROI lh-lingual
smri_area_cdk_mobfrlh,Cortical area in mm^2 of APARC ROI lh-medialorbitofrontal
smri_area_cdk_mdtmlh,Cortical area in mm^2 of APARC ROI lh-middletemporal
smri_area_cdk_parahpallh,Cortical area in mm^2 of APARC ROI lh-parahippocampal
smri_area_cdk_paracnlh,Cortical area in mm^2 of APARC ROI lh-paracentral
smri_area_cdk_parsopclh,Cortical area in mm^2 of APARC ROI lh-parsopercularis
smri_area_cdk_parsobislh,Cortical area in mm^2 of APARC ROI lh-parsorbitalis
smri_area_cdk_parstgrislh,Cortical area in mm^2 of APARC ROI lh-parstriangularis
smri_area_cdk_pericclh,Cortical area in mm^2 of APARC ROI lh-pericalcarine
smri_area_cdk_postcnlh,Cortical area in mm^2 of APARC ROI lh-postcentral
smri_area_cdk_ptcatelh,Cortical area in mm^2 of APARC ROI lh-posteriorcingulate
smri_area_cdk_precnlh,Cortical area in mm^2 of APARC ROI lh-precentral
smri_area_cdk_pclh,Cortical area in mm^2 of APARC ROI lh-precuneus
smri_area_cdk_rracatelh,Cortical area in mm^2 of APARC ROI lh-rostralanteriorcingulate
smri_area_cdk_rrmdfrlh,Cortical area in mm^2 of APARC ROI lh-rostralmiddlefrontal
smri_area_cdk_sufrlh,Cortical area in mm^2 of APARC ROI lh-superiorfrontal
smri_area_cdk_supllh,Cortical area in mm^2 of APARC ROI lh-superiorparietal
smri_area_cdk_sutmlh,Cortical area in mm^2 of APARC ROI lh-superiortemporal
smri_area_cdk_smlh,Cortical area in mm^2 of APARC ROI lh-supramarginal
smri_area_cdk_frpolelh,Cortical area in mm^2 of APARC ROI lh-frontalpole
smri_area_cdk_tmpolelh,Cortical area in mm^2 of APARC ROI lh-temporalpole
smri_area_cdk_trvtmlh,Cortical area in mm^2 of APARC ROI lh-transversetemporal
smri_area_cdk_insulalh,Cortical area in mm^2 of APARC ROI lh-insula
smri_area_cdk_banksstsrh,Cortical area in mm^2 of APARC ROI rh-Banks of Superior Temporal Sulcus
smri_area_cdk_cdacaterh,Cortical area in mm^2 of APARC ROI rh-caudalanteriorcingulate
smri_area_cdk_cdmdfrrh,Cortical area in mm^2 of APARC ROI rh-caudalmiddlefrontal
smri_area_cdk_cuneusrh,Cortical area in mm^2 of APARC ROI rh-cuneus
smri_area_cdk_ehinalrh,Cortical area in mm^2 of APARC ROI rh-entorhinal
smri_area_cdk_fusiformrh,Cortical area in mm^2 of APARC ROI rh-fusiform
smri_area_cdk_ifplrh,Cortical area in mm^2 of APARC ROI rh-inferiorparietal
smri_area_cdk_iftmrh,Cortical area in mm^2 of APARC ROI rh-inferiortemporal
smri_area_cdk_ihcaterh,Cortical area in mm^2 of APARC ROI rh-isthmuscingulate
smri_area_cdk_loccrh,Cortical area in mm^2 of APARC ROI rh-lateraloccipital
smri_area_cdk_lobfrrh,Cortical area in mm^2 of APARC ROI rh-lateralorbitofrontal
smri_area_cdk_lingualrh,Cortical area in mm^2 of APARC ROI rh-lingual
smri_area_cdk_mobfrrh,Cortical area in mm^2 of APARC ROI rh-medialorbitofrontal
smri_area_cdk_mdtmrh,Cortical area in mm^2 of APARC ROI rh-middletemporal
smri_area_cdk_parahpalrh,Cortical area in mm^2 of APARC ROI rh-parahippocampal
smri_area_cdk_paracnrh,Cortical area in mm^2 of APARC ROI rh-paracentral
smri_area_cdk_parsopcrh,Cortical area in mm^2 of APARC ROI rh-parsopercularis
smri_area_cdk_parsobisrh,Cortical area in mm^2 of APARC ROI rh-parsorbitalis
smri_area_cdk_parstgrisrh,Cortical area in mm^2 of APARC ROI rh-parstriangularis
smri_area_cdk_periccrh,Cortical area in mm^2 of APARC ROI rh-pericalcarine
smri_area_cdk_postcnrh,Cortical area in mm^2 of APARC ROI rh-postcentral
smri_area_cdk_ptcaterh,Cortical area in mm^2 of APARC ROI rh-posteriorcingulate
smri_area_cdk_precnrh,Cortical area in mm^2 of APARC ROI rh-precentral
smri_area_cdk_pcrh,Cortical area in mm^2 of APARC ROI rh-precuneus
smri_area_cdk_rracaterh,Cortical area in mm^2 of APARC ROI rh-rostralanteriorcingulate
smri_area_cdk_rrmdfrrh,Cortical area in mm^2 of APARC ROI rh-rostralmiddlefrontal
smri_area_cdk_sufrrh,Cortical area in mm^2 of APARC ROI rh-superiorfrontal
smri_area_cdk_suplrh,Cortical area in mm^2 of APARC ROI rh-superiorparietal
smri_area_cdk_sutmrh,Cortical area in mm^2 of APARC ROI rh-superiortemporal
smri_area_cdk_smrh,Cortical area in mm^2 of APARC ROI rh-supramarginal
smri_area_cdk_frpolerh,Cortical area in mm^2 of APARC ROI rh-frontalpole
smri_area_cdk_tmpolerh,Cortical area in mm^2 of APARC ROI rh-temporalpole
smri_area_cdk_trvtmrh,Cortical area in mm^2 of APARC ROI rh-transversetemporal
smri_area_cdk_insularh,Cortical area in mm^2 of APARC ROI rh-insula
smri_area_cdk_totallh,Total left hemisphere cortical area in mm^2
smri_area_cdk_totalrh,Total right hemisphere cortical area in mm^2
smri_area_cdk_total,Total whole brain cortical area in mm^2
